0,0,0,0,0
1,12.23,20.112,0.09,0.113
2,34.08,60.112,0.32,0.113
3,20.58,30.113,0.08,0.114
4,10.27,40.112,0.09,0.114
5,8.24,70.115,0.43,0.114
6,6,15.114,0.08,0.115
7,2.08,10.114,0.38,0.121832
8,8.08,11.112,0.27,0.134791
9,65.08,34.116,0.11,0.135024
10,23.08,30.112,0.11,0.135024
11,21.08,45.116,0.11,0.138075
12,16.08,23.111,0.15,0.138306
13,24.14,34.114,8.13,0.138954
14,73.03,86.118,0.39,0.139726
15,10.39,22.114,0.31,0.151105
16,20.69,28.114,0.14,0.152594
17,30.6,45.113,0.39,0.152594
18,31.6,35.113,0.11,0.154845
19,24.1,67.114,0.15,0.1596
20,61.24,81.117,0.28,0.441836
21,31.54,28.117,0.67,0.914
22,20.08,18.116,2.39,3.143
23,45.52,56.113,2.18,5.123
24,12.03,18.115,5.26,6.115
25,22.28,34.116,10.69,7.243
26,31.74,89.113,1.79,8.114
27,21.46,35.113,6.14,8.130314
28,169.54,184.126,2.08,10.114
29,12.24,34.116,7.94,10.115
30,20.38,19.115,8.08,11.112
31,0.09,0.113,6,15.114
32,0.08,0.115,12.28,17.132849
33,0.08,0.114,12.03,18.115
34,0.32,0.113,20.08,18.116
35,0.09,0.114,20.38,19.115
36,0.43,0.114,12.23,20.112
37,5.26,6.115,10.39,22.114
38,7.94,10.115,18.14,22.148006
39,46.5,67.115,16.08,23.111
40,2.18,5.123,12.39,23.139251
41,148.69,167.115,15.74,25.137446
42,2.39,3.143,20.69,28.114
43,70.92,60.116,31.54,28.117
44,125.31,148.124,23.08,30.112
45,141.64,154.126,20.58,30.113
46,138.67,143.121,24.14,34.114
47,10.69,7.243,65.08,34.116
48,151.67,187.263,22.28,34.116
49,111.6,145.113,12.24,34.116
50,168.5,172.123,23.13,34.13588
51,33.64,38.114,31.6,35.113
52,35.69,41.119,21.46,35.113
53,46.86,54.114,23.13,35.136333
54,110.27,123.113,33.64,38.114
55,1.79,8.114,10.27,40.112
56,0.67,0.914,35.69,41.119
57,76.97,80.136158,30.6,45.113
58,47.28,54.322934,21.08,45.116
59,139.02,145.136367,46.86,54.114
60,57.45,82.285864,47.28,54.322934
61,0.28,0.441836,45.66,56.106618
62,0.38,0.121832,45.52,56.113
63,0.14,0.152594,48.15,57.141115
64,0.39,0.152594,34.08,60.112
65,0.15,0.1596,70.92,60.116
66,0.27,0.134791,24.1,67.114
67,0.11,0.154845,46.5,67.115
68,0.39,0.139726,8.24,70.115
69,0.15,0.138306,72.33,73.136333
70,0.11,0.135024,76.97,80.136158
71,0.11,0.135024,61.24,81.117
72,0.11,0.138075,57.45,82.285864
73,0.31,0.151105,73.03,86.118
74,8.13,0.138954,31.74,89.113
75,18.14,22.148006,110.27,123.113
76,6.14,8.130314,138.67,143.121
77,12.28,17.132849,111.6,145.113
78,45.66,56.106618,139.02,145.136367
79,48.15,57.141115,125.31,148.124
80,178.52,184.152168,141.64,154.126
81,23.13,34.13588,148.69,167.115
82,12.39,23.139251,168.5,172.123
83,15.74,25.137446,169.54,184.126
84,72.33,73.136333,178.52,184.152168
85,23.13,35.136333,151.67,187.263
