0,0,0
1,0.09,0.113
2,0.32,0.113
3,0.08,0.114
4,0.09,0.114
5,0.43,0.114
6,0.08,0.115
7,0.38,0.121832
8,0.27,0.134791
9,0.11,0.135024
10,0.11,0.135024
11,0.11,0.138075
12,0.15,0.138306
13,8.13,0.138954
14,0.39,0.139726
15,0.31,0.151105
16,0.14,0.152594
17,0.39,0.152594
18,0.11,0.154845
19,0.15,0.1596
20,0.28,0.441836
21,0.67,0.914
22,2.39,3.143
23,2.18,5.123
24,5.26,6.115
25,10.69,7.243
26,1.79,8.114
27,6.14,8.130314
28,2.08,10.114
29,7.94,10.115
30,8.08,11.112
31,6,15.114
32,12.28,17.132849
33,12.03,18.115
34,20.08,18.116
35,20.38,19.115
36,12.23,20.112
37,10.39,22.114
38,18.14,22.148006
39,16.08,23.111
40,12.39,23.139251
41,15.74,25.137446
42,20.69,28.114
43,31.54,28.117
44,23.08,30.112
45,20.58,30.113
46,24.14,34.114
47,65.08,34.116
48,22.28,34.116
49,12.24,34.116
50,23.13,34.13588
51,31.6,35.113
52,21.46,35.113
53,23.13,35.136333
54,33.64,38.114
55,10.27,40.112
56,35.69,41.119
57,30.6,45.113
58,21.08,45.116
59,46.86,54.114
60,47.28,54.322934
61,45.66,56.106618
62,45.52,56.113
63,48.15,57.141115
64,34.08,60.112
65,70.92,60.116
66,24.1,67.114
67,46.5,67.115
68,8.24,70.115
69,72.33,73.136333
70,76.97,80.136158
71,61.24,81.117
72,57.45,82.285864
73,73.03,86.118
74,31.74,89.113
75,110.27,123.113
76,138.67,143.121
77,111.6,145.113
78,139.02,145.136367
79,125.31,148.124
80,141.64,154.126
81,148.69,167.115
82,168.5,172.123
83,169.54,184.126
84,178.52,184.152168
85,151.67,187.263
